time,open,high,low,close,Volume,Volume MA
2013-06-21,1.555,1.886,1.129,1.178,NaN,NaN
2013-06-24,1.232,1.291,0.899,1.173,NaN,NaN
2013-06-25,1.184,1.599,1.167,1.292,NaN,NaN
2013-06-26,1.128,1.807,0.532,0.808,NaN,NaN
2013-06-27,0.673,1.153,0.661,1.146,NaN,NaN
2013-06-28,1.575,1.582,1.069,1.159,NaN,NaN
2013-07-01,1.031,1.769,0.927,0.985,NaN,NaN
2013-07-02,1.223,1.29,0.771,1.129,NaN,NaN
2013-07-03,0.946,1.478,0.79,1.437,NaN,NaN
2013-07-05,1.237,1.402,1.019,1.092,NaN,NaN
2013-07-08,1.393,1.544,0.859,0.998,NaN,NaN
2013-07-09,1.273,1.681,0.879,0.906,NaN,NaN
2013-07-10,1.139,1.368,0.633,0.902,NaN,NaN
2013-07-11,2.007,2.338,1.178,1.2,NaN,NaN
2013-07-12,0.953,1.449,0.428,0.742,NaN,NaN
2013-07-15,1.07,1.24,0.796,0.854,NaN,NaN
2013-07-16,0.868,1.252,0.709,0.995,NaN,NaN
2013-07-17,1.855,1.877,0.863,0.912,NaN,NaN
2013-07-18,1.046,1.68,0.741,0.764,NaN,NaN
2013-07-19,0.476,0.862,0.433,0.814,NaN,NaN
2013-07-22,2.638,2.638,1.209,1.209,NaN,NaN
2013-07-23,1.05,1.264,0.806,0.931,NaN,NaN
2013-07-24,0.977,1.436,0.705,1.079,NaN,NaN
2013-07-25,0.984,1.367,0.974,1.114,NaN,NaN
2013-07-26,0.984,3.46,0.974,1.24,NaN,NaN
2013-07-29,1.162,2.464,1,1.143,NaN,NaN
2013-07-30,0.726,0.956,0.584,0.892,NaN,NaN
2013-07-31,1.038,1.679,0.816,0.983,NaN,NaN
2013-08-01,0.821,1.418,0.804,0.996,NaN,NaN
2013-08-02,1.543,1.707,1.026,1.083,NaN,NaN
2013-08-05,1.358,1.652,0.933,0.967,NaN,NaN
2013-08-06,1.9,1.946,0.454,0.555,NaN,NaN
2013-08-07,2.633,2.633,1.003,1.004,NaN,NaN
2013-08-08,1.02,1.08,0.654,0.809,NaN,NaN
2013-08-09,2.491,2.507,0.989,1.124,NaN,NaN
2013-08-12,1.357,1.441,0.547,0.736,NaN,NaN
2013-08-13,0.526,0.836,0.483,0.836,NaN,NaN
2013-08-14,0.7,1.065,0.505,0.92,NaN,NaN
2013-08-15,1.17,1.235,0.842,0.905,NaN,NaN
2013-08-16,0.833,1.023,0.649,0.965,NaN,NaN
2013-08-19,1.057,1.341,0.853,1.182,NaN,NaN
2013-08-20,0.973,1.053,0.51,0.733,NaN,NaN
2013-08-21,2.455,2.673,0.885,0.945,NaN,NaN
2013-08-22,0.641,1.035,0.601,0.946,NaN,NaN
2013-08-23,0.978,1.275,0.617,1.131,NaN,NaN
2013-08-26,0.705,1.694,0.652,1.047,NaN,NaN
2013-08-27,1.698,1.698,1.056,1.205,NaN,NaN
2013-08-28,0.824,1.108,0.807,0.955,NaN,NaN
2013-08-29,1.391,1.552,0.922,0.971,NaN,NaN
2013-08-30,1.02,1.392,0.833,1.085,NaN,NaN
2013-09-03,0.766,1.076,0.656,0.769,NaN,NaN
2013-09-04,0.713,0.876,0.531,0.706,NaN,NaN
2013-09-05,1.348,1.392,0.574,0.94,NaN,NaN
2013-09-06,1.863,1.979,1.04,1.041,NaN,NaN
2013-09-09,0.486,0.68,0.371,0.591,NaN,NaN
2013-09-10,1.674,1.674,0.666,0.666,NaN,NaN
2013-09-11,1.069,1.77,0.863,1.157,NaN,NaN
2013-09-12,0.626,1.01,0.581,0.81,NaN,NaN
2013-09-13,1.06,1.25,0.651,0.752,NaN,NaN
2013-09-16,1.009,1.112,0.783,0.981,NaN,NaN
2013-09-17,1.011,1.112,0.509,0.845,NaN,NaN
2013-09-18,2.403,2.403,0.692,0.852,NaN,NaN
2013-09-19,0.89,1.642,0.532,0.778,NaN,NaN
2013-09-20,1.487,1.487,0.903,1.143,NaN,NaN
2013-09-23,0.846,1.279,0.807,1.208,NaN,NaN
2013-09-24,1.69,1.774,0.874,1.047,NaN,NaN
2013-09-25,0.771,1.307,0.636,1.102,NaN,NaN
2013-09-26,1.235,1.277,0.708,0.871,NaN,NaN
2013-09-27,1.058,1.24,0.785,0.939,NaN,NaN
2013-09-30,1.344,1.389,0.75,1.037,NaN,NaN
2013-10-01,0.589,1.304,0.587,0.946,NaN,NaN
2013-10-02,1.091,1.091,0.692,0.738,NaN,NaN
